PSurf_Spring,Rainf_Spring,Snowf_Spring,Tair_Spring,Wind_Spring,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.6672435,0.75697803,0.0,0.73013115,0.57160246,0.0,0.23005605,0.18304676,0.0,0.16445668,0.42145592,0.25573766,0.377014,0.22776604,0.08406246,0.0
0.64062405,0.3462053,0.0,0.6941109,0.57748187,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.6328788,0.34926903,0.0,0.6455326,0.6270236,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5758872,0.28139365,2.4757266e-08,0.62648773,0.64499223,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.4892125,0.31385714,1.7480007e-08,0.53126526,0.6031188,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.53250885,0.4957205,0.0,0.5291252,0.25513387,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
0.6192541,0.5630754,0.0,0.7892647,0.71208894,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
0.5367451,0.82393193,0.0,0.7660122,0.7780484,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6161847,0.8367238,0.0,0.74489594,0.77105534,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.66821575,0.70690477,0.0,0.7259197,0.6489159,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.65720606,0.39645547,0.0,0.70894814,0.623757,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.64092016,0.28056818,0.0,0.6560898,0.65617526,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5969553,0.13626498,0.0,0.63490677,0.64511955,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5363903,0.22829974,6.3742758e-09,0.5545864,0.61446774,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
