PSurf_Summer,Rainf_Summer,Snowf_Summer,Tair_Summer,Wind_Summer,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.6368232,0.43388474,0.0,0.7023792,0.59538233,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.6288738,0.18746358,0.0,0.65595245,0.5615362,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.57061815,0.26158252,0.0,0.6435871,0.5681505,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.48248625,0.3367465,0.0,0.5535717,0.5655595,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.52479553,0.5117423,0.0,0.5568161,0.3290205,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
0.61223555,0.4738862,0.0,0.81074333,0.7911855,0.27469486,0.7408366,0.60856616,0.7275405,0.6431112,0.36015326,0.5180328,0.39849624,0.87498236,0.4330074,0.5180088
0.52993345,0.2562154,0.0,0.78601074,0.7797855,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.61133003,1.0,0.0,0.7737427,0.71319306,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.66430473,0.7199721,0.0,0.7551937,0.61872375,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.65314245,0.22940558,0.0,0.73968315,0.5720434,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.63659954,0.21303928,0.0,0.6963997,0.562588,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.59155893,0.37892488,0.0,0.68403244,0.56761,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.52987576,0.5091455,0.0,0.6158123,0.5717032,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5020013,0.6826781,0.0,0.5879383,0.48046172,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.71809196,0.55638087,0.0,0.8478451,0.73216987,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.66050863,0.49826217,0.0,0.8293972,0.7816893,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.61014986,0.23297018,0.0,0.8109455,0.77533054,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.57471037,0.22184387,0.0,0.79858017,0.71875834,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.59945726,0.18736562,0.0,0.7458687,0.61343277,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5763979,0.07813939,0.0,0.73664093,0.5455444,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5723462,0.15123513,0.0,0.7367439,0.540135,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5848026,0.4101989,0.0,0.72447777,0.5362886,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5249586,0.51516575,0.0,0.66244125,0.5476124,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5116067,0.66396374,0.0,0.6438904,0.52299917,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.43015337,0.30962232,0.0,0.57567024,0.5090289,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.7202382,0.28045386,0.0,0.89427185,0.6148584,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7135873,0.031846233,0.0,0.8602104,0.73032284,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.64231205,0.15813228,0.0,0.84794617,0.7556081,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.57514286,0.35683548,0.0,0.826355,0.72953117,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.49990034,0.50611764,0.0,0.8140907,0.69626486,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5526571,0.64977694,0.0,0.76756096,0.61966074,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5697465,0.49845052,0.0,0.76766205,0.545367,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.55392647,0.30959642,0.0,0.7678642,0.5237992,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5719776,0.36388832,0.0,0.7586403,0.49870038,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.52583647,0.17845541,0.0,0.7059288,0.49528694,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.54908466,0.12033784,0.0,0.69052124,0.48274612,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.49321127,0.07564319,0.0,0.6316242,0.5096717,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.719224,0.19775128,0.0,0.903595,0.59962153,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7160764,0.58346575,0.0,0.8850479,0.6686777,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6804342,0.58505756,0.0,0.8665981,0.71844983,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6153903,0.2332708,0.0,0.84814835,0.7220119,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5681715,0.41957027,0.0,0.8419647,0.6956748,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.62001514,0.09763842,0.0,0.79553986,0.64039564,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6627035,0.041827396,0.0,0.79260063,0.55424845,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.65417767,0.083668284,0.0,0.79574203,0.5254048,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.605598,0.2927964,0.0,0.7865181,0.47780037,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5639467,0.56310004,0.0,0.7432327,0.45289874,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.53044367,0.87072396,0.0,0.72154045,0.4911759,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.43962955,0.38983348,0.0,0.6596031,0.56033516,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.3793497,0.1309737,0.0,0.60689163,0.5668106,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.29832077,0.10264624,0.0,0.4578781,0.60497975,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.7303586,0.16992518,0.0,0.91576004,0.56804097,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.71921873,0.19262758,0.0,0.9129219,0.59376085,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7190819,0.5093272,0.0,0.9130249,0.62509096,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6898389,0.5274176,0.0,0.8665981,0.70281076,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.66552687,0.6871622,0.0,0.8636608,0.69471085,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6552944,0.65068376,0.0,0.8606186,0.6740972,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.647562,0.42929485,0.0,0.8141899,0.6107402,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.672843,0.18431965,0.0,0.8142929,0.542925,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.66957474,0.13134909,0.0,0.8268604,0.5113735,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6314149,0.30687985,0.0,0.8176403,0.42612243,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5869036,0.81462,0.0,0.77739334,0.38163376,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5221877,0.7019713,0.0,0.7619858,0.44071686,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.46092892,0.4951216,0.0,0.6937618,0.50745404,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.39166784,0.47207516,0.0,0.66588783,0.5738075,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.3045597,0.40884402,0.0,0.5168743,0.59200287,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.776052,0.11634808,0.0,0.9249878,0.4653014,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7400012,0.06907632,0.0,0.92204475,0.5360627,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.72291374,0.262594,0.0,0.92214966,0.5768682,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.71873426,0.33306903,0.0,0.92235184,0.5978992,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6894927,0.652122,0.0,0.90380096,0.6388804,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.62171173,0.8573323,0.0,0.891634,0.6356374,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6572404,0.5889115,0.0,0.8854523,0.60936284,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6708703,0.31766734,0.0,0.873188,0.54393387,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6842985,0.35867938,0.0,0.8732891,0.5119866,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6769657,0.3198781,0.0,0.8422699,0.48733747,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6635456,0.3175973,0.0,0.83314705,0.36355114,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5653024,0.36616582,0.0,0.8022289,0.37478364,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.518497,0.38500926,0.0,0.78367805,0.42583573,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.51564455,0.6217618,0.0,0.7651272,0.46730626,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5007415,0.30225006,0.0,0.73421097,0.45071292,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.4572549,0.75538296,0.0,0.6814995,0.43788218,0.12520446,0.9016818,0.73886305,0.80412376,0.7543661,0.34865898,0.39999998,0.20515576,1.0,0.5551553,0.59894776
0.37999392,0.39396805,0.0,0.5946255,0.47837114,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.7441993,0.5019312,0.0,0.9249878,0.41386235,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7292633,0.40725636,0.0,0.9250889,0.48928797,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.71980286,0.65434116,0.0,0.9314728,0.54187226,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7269416,0.6805388,0.0,0.92539406,0.56994045,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.7182493,0.81583697,0.0,0.9255924,0.5774584,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.69073915,0.5765398,0.0,0.9256954,0.57283545,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
