PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.6637926,0.6526141,0.64925385,0.67451286,0.18261972,0.8827416,0.6358016,0.52315557,0.0,1.8380492e-08,0.0,8.557924e-08,0.7433891,0.7342682,0.69913864,0.74121857,0.48537374,0.53788865,0.6923095,0.6040438,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.72338104,0.7113662,0.7092838,0.73565483,0.25326017,0.46153665,0.77386266,0.49493358,0.0,1.0482855e-08,0.0,3.099028e-08,0.6340141,0.6412525,0.596653,0.6469841,0.48069334,0.48482382,0.6639987,0.5510172,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.66807127,0.6554866,0.6529298,0.68062735,0.44988814,0.37958676,0.16731632,0.6870626,0.0,0.0,0.0,8.558708e-08,0.58577347,0.6010933,0.5470829,0.6142807,0.48784435,0.511912,0.6355361,0.5051064,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.6391778,0.6260414,0.62261057,0.65194464,0.5607848,0.38606507,0.16529936,0.76564026,0.0,0.0,0.0,8.8501466e-08,0.5959072,0.6073723,0.5409012,0.6231346,0.4619547,0.5328237,0.5594678,0.46197444,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
0.55319357,0.5396943,0.53487587,0.5653448,0.64225686,0.40067202,0.2533243,0.8400928,1.7950326e-08,0.0,0.0,1.593378e-07,0.54247665,0.5608654,0.4943714,0.5815754,0.51947105,0.62510455,0.5497407,0.4716459,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5016837,0.48830366,0.48222017,0.51377153,0.68547213,0.34927064,0.21286467,0.7321156,2.7886681e-08,0.0,0.0,1.3949344e-07,0.48150253,0.51008034,0.44165993,0.5313835,0.30027115,0.40329826,0.38027072,0.3019405,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.63691425,0.6261344,0.6211591,0.6461897,0.5442076,0.53320765,0.4618677,0.55972373,2.7886681e-08,0.0,0.0,2.3991524e-07,0.814579,0.7914047,0.78915405,0.7850437,0.5166607,0.59558284,0.73420227,0.656406,0.0,0.23005605,0.18304676,0.0,0.16445668,0.42145592,0.25573766,0.377014,0.22776604,0.08406246,0.0
0.63292503,0.62141085,0.61713934,0.6431923,0.6556549,0.82452464,0.8115399,0.2693946,2.7886681e-08,0.0,0.0,2.151857e-07,0.7738743,0.7639408,0.7519493,0.7543869,0.54094553,0.58756006,0.7080523,0.66300184,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.7067671,0.6942949,0.6915002,0.71877193,0.43049887,0.6667031,0.6486456,0.2605091,2.0164904e-08,6.727082e-09,0.0,1.0347762e-07,0.6696892,0.6729946,0.6526089,0.6622009,0.5113722,0.524721,0.6511371,0.6008324,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6722045,0.65924215,0.65613794,0.68458414,0.2686439,0.6432837,0.27825361,0.19194844,1.2553715e-08,0.0,0.0,3.9407492e-08,0.6213665,0.6370449,0.6092224,0.62291336,0.48565066,0.5430082,0.61196387,0.53349763,0.5225871,0.4279862,0.45391187,0.74079525,0.45164943,0.33141756,0.32786882,0.108485505,0.45553198,0.6244639,0.5503845
