lon,lat,PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Qair_Autumn,Qair_Spring,Qair_Summer,Qair_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,spatial_ref_Autumn,spatial_ref_Spring,spatial_ref_Summer,spatial_ref_Winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
-7.25,27.25,97570.5625,97381.5,97195.9296875,98177.1796875,0.0050573162734508514,0.004038782324641943,0.005728562828153372,0.0039015875663608313,1.797789309421205e-06,2.860637778212549e-06,8.087033620540751e-07,1.3255499879960553e-06,0.0,3.334817932909573e-08,0.0,4.8585743428475325e-08,297.6203308105469,297.29892,304.80218505859375,288.7244567871094,3.8322231769561768,4.577838897705078,4.859242916107178,3.974303722381592,0.0,0.0,0.0,0.0,30.28,37.65999984741211,42.279998779296875,37.42,27.52,24.92,8.14,8.26,0.6679999828338623,0.2800000011920929,0.078,0.034,99.2,99.2,19.34000015258789,16.65999984741211,55.8,48.8,15.399999618530273,17.15999984741211,1.5,1.36,10.199999809265137,10.6
-7.25,27.75,97009.3203125,96812.2578125,96641.765625,97607.921875,0.0049447352066636086,0.003922163043171167,0.0056937700137495995,0.003983285743743181,2.8313820621406194e-06,2.8671672680502525e-06,1.2185583955215407e-06,1.8428459043207113e-06,0.0,6.569509025666775e-08,0.0,2.7068839614230455e-08,297.186279296875,296.9,304.40325927734375,288.4277648925781,3.762829065322876,4.524850368499756,4.6427412033081055,3.74660587310791,0.0,0.0,0.0,0.0,30.28,37.65999984741211,42.279998779296875,37.42,27.52,24.92,8.14,8.26,0.6679999828338623,0.2800000011920929,0.078,0.034,99.2,99.2,19.34000015258789,16.65999984741211,55.8,48.8,15.399999618530273,17.15999984741211,1.5,1.36,10.199999809265137,10.6
-7.25,28.25,96314.953125,96106.515625,95946.09375,96896.7734375,0.004823323804885149,0.0036458494141697884,0.005344666540622711,0.003842646721750498,2.9554155389632797e-06,3.4658180538826855e-06,9.319795708506717e-07,1.635876287764404e-06,0.0,7.300739923721267e-08,0.0,1.4071171783314185e-08,297.0862731933594,296.69998,304.136962890625,288.46221923828125,3.7532408237457275,4.619699001312256,4.43692684173584,3.6765971183776855,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-7.25,28.75,94928.09375,94715.0703125,94585.875,95462.0234375,0.0044382247142493725,0.003272334113717079,0.004858204163610935,0.003346072742715478,3.2807224670250434e-06,3.5468822261464084e-06,1.9625003915280104e-06,1.863067041085742e-06,0.0,8.642394133673292e-08,0.0,2.7963972470956833e-08,296.01812744140625,295.66736,303.2380676269531,287.46221923828125,3.7752723693847656,4.64822244644165,4.167478561401367,3.635648250579834,0.0,0.0,0.0,0.0,58.3,51.650001525878906,20.950000762939453,23.65,20.75,24.45,7.65,7.7,0.6349999904632568,0.3199999928474426,0.08,0.02,84.5,95.0,10.100000381469727,9.649999618530273,57.0,40.0,13.050000190734863,19.100000381469727,1.4,1.45,10.5,10.0
-7.25,29.25,95935.765625,95722.1328125,95552.8359375,96512.78125,0.0039932141080498695,0.002919891383498907,0.004265160765498877,0.0030369777232408524,2.610216370158014e-06,4.874225567164103e-06,1.4512060033666785e-06,1.895680384222942e-06,0.0,3.627786071547234e-08,0.0,1.5500360461828677e-07,295.7510986328125,295.40002,303.00543212890625,287.2622375488281,3.191728115081787,4.040876388549805,3.571641445159912,3.067671298980713,0.0,0.0,0.0,0.0,52.21,48.31999969482422,23.229999542236328,24.32,24.58,27.24,7.39,7.46,0.6779999732971191,0.4050000011920929,0.113,0.058,87.3,91.5,10.869999885559082,10.0600004196167,56.7,45.8,8.539999961853027,11.319999694824219,1.42,1.38,10.300000190734863,10.8
-6.75,26.25,96194.9453125,96021.4609375,95845.8515625,96718.3515625,0.00559522258117795,0.0043597109615802765,0.00569559121504426,0.003947553690522909,2.227779759778059e-06,3.960005415137857e-06,2.079468004012597e-06,1.8045760725726723e-06,0.0,3.177136420617899e-08,0.0,1.2510751901118056e-07,299.9884948730469,299.59784,306.9989013671875,290.75555419921875,3.7406864166259766,4.646264553070068,4.719473361968994,4.156313419342041,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
-6.75,26.75,96586.7734375,96402.5625,96227.25,97139.3125,0.005297193769365549,0.00410247128456831,0.005528011824935675,0.0038412066642194986,2.1485695924639003e-06,4.505301603785483e-06,1.6584677950959303e-06,1.980023398573394e-06,0.0,1.8380491795255693e-08,0.0,8.557923791840949e-08,299.2884521484375,299.0315,306.4337158203125,290.0522155761719,3.752810478210449,4.6200666427612305,4.667693614959717,4.085849285125732,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
-6.75,27.25,97495.5390625,97298.6015625,97108.328125,98097.1328125,0.004913470707833767,0.0037607974372804165,0.005293199792504311,0.0036982966121286154,2.407504325674381e-06,3.180088469889597e-06,1.9831750250887126e-06,1.9250410332460888e-06,0.0,1.0482854584381585e-08,0.0,3.0990278787612624e-08,297.8533020019531,297.56628,305.33477783203125,288.6211242675781,3.7436022758483887,4.5079522132873535,4.586149215698242,3.944887399673462,0.0,0.0,0.0,0.0,35.673,32.47200012207031,13.925999641418457,14.817,16.401,18.579,4.884,4.95,0.42899999022483826,0.2079000025987625,0.0759,0.0264,54.45,61.38,6.302999973297119,5.247000217437744,39.93,25.74,4.355999946594238,7.458000183105469,0.891,0.957,6.269999980926514,6.27
-6.75,27.75,96652.0234375,96446.375,96281.203125,97235.1015625,0.004829065874218941,0.003666945733129978,0.005305614322423935,0.0037884849589318037,3.128250227746321e-06,2.922253997894586e-06,5.566325285144558e-07,2.299347897860571e-06,0.0,0.0,0.0,8.558708231021228e-08,297.2203369140625,296.9337,304.8032531738281,288.12445068359375,3.7576711177825928,4.565183639526367,4.504167079925537,3.8228414058685303,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
-6.75,28.25,96211.3828125,95997.296875,95836.1953125,96785.765625,0.004809631034731865,0.0035500770900398493,0.005127997137606144,0.003815256292000413,3.5347454740985995e-06,2.9426364562823437e-06,5.518887746802648e-07,2.4524333639419638e-06,0.0,0.0,0.0,8.850146571148798e-08,297.3533020019531,297.0326,304.7369689941406,288.2589111328125,3.706735610961914,4.609365463256836,4.285064697265625,3.7081825733184814,0.0,0.0,0.0,0.0,58.06,49.90999984741211,22.850000381469727,26.31,19.09,23.43,7.87,7.9,0.5009999871253967,0.2879999876022339,0.06,0.02,90.7,97.0,9.979999542236328,10.3100004196167,57.8,44.8,18.229999542236328,26.540000915527344,1.48,1.43,10.300000190734863,10.8
